,city,cloudiness,country,date,humidity,latitude,max temp,wind speed,longitude
342,Beloha,32,MG,1547100852,100,-25.17,77.78,5.17,45.06
343,Jambi,80,ID,1547100852,86,-1.6,81.97,3.94,103.62
344,Lebu,20,ET,1547096400,40,8.96,53.6,3.36,38.73
347,Yaan,0,NG,1547100859,86,7.38,69.32,6.17,8.57
348,Kavaratti,0,IN,1547100859,100,10.57,82.64,5.95,72.64
349,Devonport,0,AU,1547100859,56,-41.18,66.4,8.41,146.36
350,Kamiiso,75,JP,1547100000,55,41.82,39.2,20.8,140.65
351,Flin Flon,80,CA,1547100860,79,54.77,1.6,7.52,-101.88
352,Norman Wells,5,CA,1547096400,64,65.28,-43.61,3.6,-126.83
353,Praia da Vitoria,75,PT,1547096400,100,38.73,59,15.68,-27.07
354,Tshela,64,CD,1547100860,97,-4.99,68.96,3.15,12.94
356,Padang,20,ID,1547096400,74,-0.92,86,6.93,100.36
357,Plettenberg Bay,100,ZA,1547100863,100,-34.05,66.67,11.65,23.37
358,Harper,90,US,1547099700,47,30.3,50,4.94,-99.24
361,Dickinson,1,US,1547099760,73,46.88,15.08,17.22,-102.79
362,Saint-Louis,90,CH,1547099400,97,47.59,33.8,5.82,7.56
363,Opuwo,0,NA,1547100867,44,-18.06,61.09,3.49,13.84
364,Dandong,0,CN,1547100867,38,40.12,36.83,3.49,124.37
365,Noumea,75,NC,1547100000,58,-22.28,84.2,17.22,166.46
366,Kattivakkam,40,IN,1547098200,61,13.22,82.4,5.82,80.32
367,Pasighat,0,IN,1547100870,49,28.06,62.44,2.04,95.33
369,Turukhansk,56,RU,1547100873,73,65.8,-16.9,7.63,87.96
370,Karratha,8,AU,1547100678,11,-20.74,115.99,11.99,116.85
371,Rio Grande,76,BR,1547100757,100,-32.03,72.79,3.6,-52.1
372,Muli,0,IN,1547100876,42,22.62,73.24,8.08,71.45
373,Geraldton,5,CA,1547096400,76,49.72,-7.61,8.05,-86.95
374,Bonthe,0,SL,1547100877,98,7.53,75.22,4.05,-12.5
375,Ambilobe,100,MG,1547100878,99,-13.19,75.94,4.16,49.05
376,Kogon,40,UZ,1547098200,65,39.73,44.6,6.93,64.54
377,Gorodovikovsk,24,RU,1547100878,56,46.08,6.68,2.93,41.93
378,Chara,40,GR,1547099400,100,39.42,37.4,8.05,22.43
379,Manokwari,24,ID,1547100879,100,-0.87,82.1,14.23,134.08
380,Progreso,75,UY,1547100000,77,-34.68,68,12.75,-56.22
381,Tagusao,76,PH,1547100879,72,9.19,85.3,10.54,117.81
382,Sijunjung,92,ID,1547100880,100,-0.69,73.28,2.37,100.95
383,Yagodnoye,56,RU,1547100880,59,62.52,-22.62,1.48,149.63
384,Denpasar,20,ID,1547098200,79,-8.65,86,10.29,115.22
385,Samoylovka,80,RU,1547100880,82,51.19,9.97,5.61,43.71
386,Olot,40,UZ,1547098200,65,39.42,46.4,6.93,63.81
387,Batemans Bay,92,AU,1547100881,89,-35.71,68.2,4.5,150.18
388,Mastic Beach,20,US,1547099580,48,40.77,33.98,14.99,-72.85
389,Hay River,40,CA,1547096400,74,60.82,-22.01,8.05,-115.79
391,Mitu,0,IR,1547100882,79,36.2,16.45,1.92,46.09
392,Cam Ranh,20,VN,1547098200,66,11.92,86,12.75,109.15
393,Rocha,88,UY,1547100883,97,-34.48,68.74,5.5,-54.34
394,Chalus,75,IR,1547099640,93,36.66,46.4,4.7,51.42
395,Marawi,88,PH,1547100883,45,8,85.43,4.61,124.29
396,Menongue,56,AO,1547100883,54,-14.66,66.85,6.06,17.68
397,Salisbury,20,GB,1547099760,92,51.07,30.2,6.93,-1.8
398,Pingliang,24,CN,1547100884,63,35.54,28.42,3.71,106.68
399,Murray Bridge,44,AU,1547100885,72,-35.12,72.11,5.17,139.28
400,Jalu,0,LY,1547100886,81,29.03,39.04,5.06,21.55
401,Toppenish,1,US,1547099700,100,46.38,33.8,2.59,-120.31
402,Custoias,68,PT,1547100867,85,41.11,25.09,2.37,-7.32
403,Tumarbong,0,PH,1547100888,95,10.38,81.92,17.02,119.46
404,Kamaishi,75,JP,1547100000,86,39.28,39.2,13.87,141.86
405,Otradnoye,75,RU,1547098200,92,59.77,21.2,2.24,30.8
407,Petropavlovsk-Kamchatskiy,20,RU,1547098200,61,53.05,14,4.47,158.65
408,Lima,75,PE,1547096400,88,-12.06,73.4,12.75,-77.04
409,Alice Springs,0,AU,1547098200,6,-23.7,100.4,14.99,133.88
410,Hami,64,CN,1547100896,68,42.84,21.94,2.37,93.51
411,Miyang,48,CN,1547100896,86,24.4,56.81,11.43,103.44
412,Luderitz,32,NA,1547100897,95,-26.65,57.85,5.5,15.16
